#,Company,Symbol,Weight,Price,Chg,% Chg
171,Xcel Energy Inc.,XEL,0.130952,68.71,-0.59,(-0.85%)
172,Newmont Corporation,NEM,0.130623,43.86,-0.53,(-1.19%)
173,Marathon Petroleum Corporation,MPC,0.129987,54.69,-0.77,(-1.39%)
174,FedEx Corporation,FDX,0.127825,155.50,6.87,(4.62%)
175,Travelers Companies Inc.,TRV,0.127792,136.01,-0.49,(-0.36%)
176,Ingersoll-Rand Plc,IR,0.12368,145.00,2.59,(1.82%)
177,Welltower Inc.,WELL,0.123465,84.13,-0.54,(-0.64%)
178,Valero Energy Corporation,VLO,0.123351,83.80,0.53,(0.64%)
179,Delta Air Lines Inc.,DAL,0.121291,57.75,-0.43,(-0.74%)
180,Public Storage,PSA,0.120427,225.23,1.20,(0.54%)
181,Constellation Brands Inc. Class A,STZ,0.120293,199.54,-0.26,(-0.13%)
182,Zimmer Biomet Holdings Inc.,ZBH,0.118061,156.39,-2.62,(-1.65%)
183,IHS Markit Ltd.,INFO,0.116853,80.42,-0.43,(-0.53%)
184,Electronic Arts Inc.,EA,0.116756,109.09,-0.91,(-0.83%)
185,T. Rowe Price Group,TROW,0.116707,138.24,0.47,(0.34%)
186,HP Inc.,HPQ,0.116622,21.77,-0.07,(-0.32%)
187,Ford Motor Company,F,0.116384,8.11,-0.14,(-1.70%)
188,Hilton Worldwide Holdings Inc,HLT,0.114788,110.21,-2.49,(-2.21%)
189,TE Connectivity Ltd.,TEL,0.114746,93.22,-1.41,(-1.49%)
190,Yum! Brands Inc.,YUM,0.113834,102.04,-1.70,(-1.64%)
191,TransDigm Group Incorporated,TDG,0.113396,634.54,0.76,(0.12%)
192,WEC Energy Group Inc,WEC,0.112887,99.75,-0.15,(-0.15%)
193,General Mills Inc.,GIS,0.112813,51.90,0.19,(0.37%)
194,ONEOK Inc.,OKE,0.112403,75.36,-0.49,(-0.65%)
195,Regeneron Pharmaceuticals Inc.,REGN,0.11224,382.30,-7.55,(-1.94%)
196,Consolidated Edison Inc.,ED,0.111879,92.78,-0.69,(-0.74%)
197,Amphenol Corporation Class A,APH,0.111203,103.36,-0.60,(-0.58%)
198,Johnson Controls International plc,JCI,0.111155,39.81,-0.11,(-0.28%)
199,Motorola Solutions Inc.,MSI,0.110657,179.13,0.20,(0.11%)
200,AvalonBay Communities Inc.,AVB,0.110027,219.17,0.04,(0.02%)
201,O'Reilly Automotive Inc.,ORLY,0.108629,387.69,-10.44,(-2.62%)
202,Twitter Inc.,TWTR,0.107006,36.92,-1.49,(-3.88%)
203,PPG Industries Inc.,PPG,0.105717,122.61,-1.75,(-1.41%)
204,Public Service Enterprise Group Inc,PEG,0.105638,57.70,-0.63,(-1.08%)
205,State Street Corporation,STT,0.105359,79.14,-1.13,(-1.41%)
206,Equity Residential,EQR,0.105352,84.20,0.33,(0.39%)
207,IQVIA Holdings Inc,IQV,0.10535,156.69,-3.84,(-2.39%)
208,Eversource Energy,ES,0.105114,90.58,-0.29,(-0.32%)
209,eBay Inc.,EBAY,0.10489,36.39,-1.61,(-4.24%)
210,SBA Communications Corp. Class A,SBAC,0.104224,258.82,2.32,(0.90%)
211,McKesson Corporation,MCK,0.102955,156.32,-2.00,(-1.26%)
212,FleetCor Technologies Inc.,FLT,0.10184,306.76,-22.09,(-6.72%)
213,Paychex Inc.,PAYX,0.101411,88.25,-0.20,(-0.23%)
214,FirstEnergy Corp.,FE,0.09972,51.25,0.00,(0.00%)
215,V.F. Corporation,VFC,0.099388,82.96,-1.12,(-1.33%)
216,Verisk Analytics Inc,VRSK,0.099283,170.00,1.05,(0.62%)
217,Southwest Airlines Co.,LUV,0.098682,57.04,-0.68,(-1.18%)
218,KLA Corporation,KLAC,0.098512,164.74,-7.00,(-4.08%)
219,Edison International,EIX,0.098447,77.00,0.71,(0.93%)
220,Parker-Hannifin Corporation,PH,0.096907,207.82,-2.03,(-0.97%)
221,Willis Towers Watson Public Limited Company,WLTW,0.096586,209.26,0.36,(0.17%)
222,PACCAR Inc,PCAR,0.096183,75.43,-2.16,(-2.78%)
223,Monster Beverage Corporation,MNST,0.095639,68.91,-0.55,(-0.78%)
224,Agilent Technologies Inc.,A,0.094586,84.15,-0.67,(-0.79%)
225,Entergy Corporation,ETR,0.094154,131.94,0.53,(0.40%)
226,T-Mobile US Inc.,TMUS,0.093926,85.76,2.99,(3.61%)
227,PPL Corporation,PPL,0.093771,36.02,-0.06,(-0.17%)
228,Microchip Technology Incorporated,MCHP,0.093581,106.21,-2.27,(-2.09%)
229,Realty Income Corporation,O,0.093112,79.99,0.84,(1.06%)
230,DTE Energy Company,DTE,0.093074,133.61,-0.60,(-0.45%)
231,Williams Companies Inc.,WMB,0.093026,21.06,-0.38,(-1.77%)
232,Digital Realty Trust Inc.,DLR,0.092374,123.28,-0.74,(-0.60%)
233,Archer-Daniels-Midland Company,ADM,0.092362,45.71,-0.27,(-0.59%)
234,Ball Corporation,BLL,0.092029,76.92,-1.08,(-1.38%)
235,Cummins Inc.,CMI,0.091764,160.80,-5.15,(-3.10%)
236,AutoZone Inc.,AZO,0.091281,"1,058.91",-3.40,(-0.32%)
237,Stanley Black & Decker Inc.,SWK,0.090353,163.05,-3.07,(-1.85%)
238,MSCI Inc. Class A,MSCI,0.089708,299.00,2.10,(0.71%)
239,Cerner Corporation,CERN,0.089453,78.93,-0.02,(-0.03%)
240,ANSYS Inc.,ANSS,0.088281,284.83,-1.05,(-0.37%)
241,Cintas Corporation,CTAS,0.087825,291.58,-2.07,(-0.70%)
242,ResMed Inc.,RMD,0.08756,171.46,0.95,(0.56%)
243,American Water Works Company Inc.,AWK,0.087552,134.45,-0.55,(-0.41%)
244,IDEXX Laboratories Inc.,IDXX,0.086664,278.40,-2.27,(-0.81%)
245,Discover Financial Services,DFS,0.086316,75.19,-1.16,(-1.52%)
246,Rockwell Automation Inc.,ROK,0.08544,202.72,-2.31,(-1.13%)
247,Corteva Inc,CTVA,0.085043,31.04,-0.55,(-1.74%)
248,Tyson Foods Inc. Class A,TSN,0.084693,80.25,0.48,(0.60%)
249,Las Vegas Sands Corp.,LVS,0.084643,66.73,-2.74,(-3.94%)
250,Pioneer Natural Resources Company,PXD,0.083914,137.82,-2.62,(-1.87%)
251,Alexion Pharmaceuticals Inc.,ALXN,0.083716,100.95,-3.09,(-2.97%)
252,Synopsys Inc.,SNPS,0.08298,154.28,-0.49,(-0.32%)
253,Hershey Company,HSY,0.082818,156.54,2.20,(1.43%)
254,Fortive Corp.,FTV,0.082661,79.02,1.19,(1.53%)
255,VeriSign Inc.,VRSN,0.081676,205.10,-11.84,(-5.46%)
256,M&T Bank Corporation,MTB,0.081448,169.95,-1.19,(-0.70%)
257,Aptiv PLC,APTV,0.081436,87.13,-1.11,(-1.26%)
258,Kroger Co.,KR,0.080733,27.96,-0.09,(-0.32%)
259,AMETEK Inc.,AME,0.080513,98.30,-0.38,(-0.39%)
260,Ameriprise Financial Inc.,AMP,0.080437,175.32,-0.59,(-0.34%)
261,Xilinx Inc.,XLNX,0.079932,85.60,-2.12,(-2.42%)
262,Chipotle Mexican Grill Inc.,CMG,0.078686,863.17,6.17,(0.72%)
263,Northern Trust Corporation,NTRS,0.07846,101.27,-1.38,(-1.35%)
264,Ventas Inc.,VTR,0.078322,58.94,0.08,(0.14%)
265,Corning Inc,GLW,0.078141,27.68,-0.49,(-1.74%)
266,Fastenal Company,FAST,0.077814,37.35,-0.55,(-1.45%)
267,LyondellBasell Industries NV,LYB,0.077534,82.10,-1.28,(-1.54%)
268,CBRE Group Inc. Class A,CBRE,0.0774,64.03,0.15,(0.23%)
269,Hartford Financial Services Group Inc.,HIG,0.077363,59.81,0.19,(0.32%)
270,Weyerhaeuser Company,WY,0.076456,28.60,-0.05,(-0.17%)
271,Copart Inc.,CPRT,0.076013,102.58,-0.37,(-0.36%)
272,Fifth Third Bancorp,FITB,0.075976,29.49,-0.17,(-0.57%)
273,Cadence Design Systems Inc.,CDNS,0.075428,73.55,-0.99,(-1.33%)
274,Dollar Tree Inc.,DLTR,0.074964,87.24,-0.70,(-0.80%)
275,Boston Properties Inc.,BXP,0.074796,142.71,-1.67,(-1.16%)
276,Clorox Company,CLX,0.074781,166.87,1.80,(1.09%)
277,Essex Property Trust Inc.,ESS,0.074204,314.79,0.05,(0.02%)
278,Republic Services Inc.,RSG,0.073665,97.14,0.54,(0.56%)
279,D.R. Horton Inc.,DHI,0.07331,60.50,-0.10,(-0.17%)
280,Skyworks Solutions Inc.,SWKS,0.073145,113.94,-3.74,(-3.18%)
281,Ameren Corporation,AEE,0.07291,83.60,0.43,(0.52%)
282,Best Buy Co. Inc.,BBY,0.072803,87.02,-1.62,(-1.83%)
283,Western Digital Corporation,WDC,0.072527,67.09,-1.61,(-2.34%)
284,Royal Caribbean Cruises Ltd.,RCL,0.071768,111.30,-5.37,(-4.60%)
285,McCormick & Company Incorporated,MKC,0.071237,164.25,2.13,(1.31%)
286,Synchrony Financial,SYF,0.071223,33.37,0.18,(0.54%)
287,Halliburton Company,HAL,0.07053,21.78,-0.48,(-2.16%)
288,First Republic Bank,FRC,0.070441,115.01,-1.21,(-1.04%)
289,CDW Corp.,CDW,0.070178,132.10,-2.54,(-1.89%)
290,Hewlett Packard Enterprise Co.,HPE,0.07017,14.70,-0.22,(-1.47%)
291,Vulcan Materials Company,VMC,0.06994,147.72,0.69,(0.47%)
292,Arthur J. Gallagher & Co.,AJG,0.069929,104.93,-0.19,(-0.18%)
293,Alexandria Real Estate Equities Inc.,ARE,0.069707,167.55,-0.29,(-0.17%)
294,Align Technology Inc.,ALGN,0.069695,258.00,-8.76,(-3.28%)
295,KeyCorp,KEY,0.069663,19.59,-0.02,(-0.10%)
296,Mettler-Toledo International Inc.,MTD,0.068917,787.15,8.63,(1.11%)
297,Lennar Corporation Class A,LEN,0.068806,69.39,1.24,(1.82%)
298,CMS Energy Corporation,CMS,0.06878,67.14,-0.18,(-0.27%)
299,Equifax Inc.,EFX,0.067566,155.61,-0.36,(-0.23%)
300,ViacomCBS Inc. Class B,VIAC,0.066998,34.60,0.00,(0.00%)
301,Church & Dwight Co. Inc.,CHD,0.06517,74.49,0.53,(0.72%)
302,Keysight Technologies Inc,KEYS,0.064996,94.50,-1.99,(-2.06%)
303,Kraft Heinz Company,KHC,0.064837,29.60,0.54,(1.86%)
304,Laboratory Corporation of America Holdings,LH,0.064686,182.33,-1.55,(-0.84%)
305,Amcor PLC,AMCR,0.064344,10.82,-0.19,(-1.73%)
306,Freeport-McMoRan Inc.,FCX,0.064344,11.85,-0.47,(-3.81%)
307,Healthpeak Properties Inc.,PEAK,0.064294,36.31,-0.01,(-0.03%)
308,United Airlines Holdings Inc.,UAL,0.064035,79.20,-1.30,(-1.61%)
309,Teleflex Incorporated,TFX,0.063411,375.07,-6.34,(-1.66%)
310,Maxim Integrated Products Inc.,MXIM,0.062837,62.53,-1.55,(-2.42%)
311,Carnival Corporation,CCL,0.062669,42.58,-1.20,(-2.74%)
312,International Paper Company,IP,0.062622,43.56,-0.69,(-1.56%)
313,Cooper Companies Inc.,COO,0.062399,348.20,-4.82,(-1.37%)
314,Kansas City Southern,KSU,0.062101,171.86,-0.13,(-0.08%)
315,Fortinet Inc.,FTNT,0.062024,117.11,-4.22,(-3.48%)
316,Cardinal Health Inc.,CAH,0.061869,58.24,-0.02,(-0.03%)
317,Dover Corporation,DOV,0.06184,117.31,-0.92,(-0.78%)
318,Cincinnati Financial Corporation,CINF,0.061629,112.83,-0.01,(-0.01%)
319,Martin Marietta Materials Inc.,MLM,0.061538,274.10,-0.08,(-0.03%)
320,MGM Resorts International,MGM,0.061,31.36,-1.12,(-3.45%)
321,Citizens Financial Group Inc.,CFG,0.060761,38.42,-0.30,(-0.77%)
322,Ulta Beauty Inc,ULTA,0.060437,296.44,3.39,(1.16%)
323,Omnicom Group Inc,OMC,0.060013,75.74,-0.85,(-1.11%)
324,Evergy Inc.,EVRG,0.058668,71.85,0.53,(0.74%)
325,CarMax Inc.,KMX,0.058012,96.30,-0.67,(-0.69%)
326,Concho Resources Inc.,CXO,0.057902,79.09,-1.37,(-1.70%)
327,Mid-America Apartment Communities Inc.,MAA,0.057368,141.19,0.84,(0.60%)
328,Akamai Technologies Inc.,AKAM,0.05708,96.05,-0.90,(-0.93%)
329,Regions Financial Corporation,RF,0.056928,16.32,-0.03,(-0.18%)
330,Kellogg Company,K,0.056885,64.17,0.71,(1.12%)
