#,Company,Symbol,Weight,Price,Chg,% Chg
411,American Airlines Group Inc.,AAL,0.040238,28.25,-0.05,(-0.18%)
412,Huntington Ingalls Industries Inc.,HII,0.040031,269.14,0.96,(0.36%)
413,NiSource Inc,NI,0.039846,29.80,-0.05,(-0.17%)
414,Pinnacle West Capital Corporation,PNW,0.039618,98.06,0.07,(0.07%)
415,Globe Life Inc.,GL,0.039075,108.58,0.50,(0.46%)
416,Apache Corporation,APA,0.038987,28.11,-0.83,(-2.87%)
417,Molson Coors Beverage Company Class B,TAP,0.038762,57.78,0.28,(0.49%)
418,WestRock Company,WRK,0.038456,41.22,-0.45,(-1.08%)
419,Regency Centers Corporation,REG,0.038162,63.12,-0.39,(-0.61%)
420,Vornado Realty Trust,VNO,0.038054,66.34,-0.35,(-0.52%)
421,PerkinElmer Inc.,PKI,0.038024,93.07,-2.53,(-2.65%)
422,Henry Schein Inc.,HSIC,0.037827,69.97,-1.00,(-1.41%)
423,LKQ Corporation,LKQ,0.036875,32.93,-0.29,(-0.87%)
424,Live Nation Entertainment Inc.,LYV,0.036752,72.19,-0.06,(-0.08%)
425,Eastman Chemical Company,EMN,0.036412,72.38,-1.53,(-2.07%)
426,C.H. Robinson Worldwide Inc.,CHRW,0.036151,74.38,0.80,(1.09%)
427,NortonLifeLock Inc.,NLOK,0.036092,19.92,2.31,(13.12%)
428,Fortune Brands Home & Security Inc.,FBHS,0.036011,70.75,-0.79,(-1.10%)
429,Noble Energy Inc.,NBL,0.035943,20.06,-0.67,(-3.23%)
430,E*TRADE Financial Corporation,ETFC,0.035596,43.61,-0.02,(-0.05%)
431,Packaging Corporation of America,PKG,0.035402,101.38,-2.95,(-2.83%)
432,Whirlpool Corporation,WHR,0.034563,149.21,-3.85,(-2.52%)
433,Discovery Inc. Class C,DISCK,0.034532,28.35,-0.19,(-0.66%)
434,Marathon Oil Corporation,MRO,0.03452,11.68,-0.24,(-2.01%)
